Date,ASIANPAINT.NS,HDFCBANK.NS,ITC.NS,RELIANCE.NS,TCS.NS
2015-01-01,704.9194946289062,446.35650634765625,191.17953491210938,417.9888610839844,1065.138427734375
2015-01-02,729.2901611328125,452.568603515625,191.77838134765625,416.88262939453125,1079.3240966796875
2015-01-05,729.2432861328125,448.74761962890625,192.5334014892578,412.3161926269531,1062.921142578125
2015-01-06,711.83544921875,441.7619323730469,187.5866241455078,393.60345458984375,1023.7347412109375
2015-01-07,726.1378784179688,443.0512390136719,184.09786987304688,402.1712951660156,1011.6422729492188
2015-01-08,771.9157104492188,452.3576354980469,188.70616149902344,396.40447998046875,1022.5635986328125
2015-01-09,764.5292358398438,457.42108154296875,185.84225463867188,404.9958801269531,1051.22607421875
2015-01-12,760.0596313476562,453.3890686035156,186.33692932128906,400.2882385253906,1050.1380615234375
2015-01-13,784.6185913085938,451.6543273925781,187.508544921875,396.92236328125,1045.200439453125
2015-01-14,792.899169921875,451.9122314453125,181.103759765625,393.0621032714844,1055.2637939453125
2015-01-15,789.7938842773438,465.625732421875,186.3629608154297,406.85540771484375,1062.4400634765625
2015-01-16,793.65185546875,469.47015380859375,187.508544921875,409.4210205078125,1059.5316162109375
2015-01-19,782.7838745117188,470.970458984375,186.83160400390625,414.1051025390625,1050.682373046875
2015-01-20,789.6527099609375,478.659423828125,193.236328125,425.12091064453125,1046.267333984375
2015-01-21,801.0383911132812,478.1905822753906,183.65525817871094,426.86273193359375,1051.853515625
2015-01-22,815.9528198242188,478.800048828125,182.5877685546875,416.0352478027344,1051.7490234375
2015-01-23,811.2006225585938,488.9035339355469,181.96292114257812,417.5180969238281,1047.5858154296875
2015-01-27,837.9240112304688,503.55462646484375,187.53457641601562,418.5302734375,1049.0321044921875
2015-01-28,856.5079956054688,496.1939697265625,188.6540985107422,426.9097900390625,1064.775634765625
2015-01-29,829.2672119140625,513.3767700195312,192.7677459716797,437.5255432128906,1066.892822265625
2015-01-30,807.1076049804688,505.1018371582031,191.90853881835938,430.86419677734375,1040.6468505859375
2015-02-02,760.3889770507812,507.0943908691406,187.79493713378906,427.4747619628906,1054.12646484375
2015-02-03,766.599365234375,498.8896789550781,190.60675048828125,441.3857727050781,1072.5948486328125
2015-02-04,756.3900146484375,500.57745361328125,191.41387939453125,437.2430419921875,1054.1683349609375
2015-02-05,762.9766845703125,504.7033386230469,192.0907745361328,434.8421630859375,1070.1419677734375
2015-02-06,750.5560302734375,493.9200439453125,194.48606872558594,428.34564208984375,1079.932373046875
2015-02-09,756.20166015625,487.6376037597656,191.570068359375,422.131591796875,1053.5811767578125
2015-02-10,773.6565551757812,494.36541748046875,192.6114959716797,415.21136474609375,1023.4984130859375
2015-02-11,791.1113891601562,496.2173767089844,193.26239013671875,424.0146179199219,1031.359619140625
2015-02-12,775.1150512695312,504.4688415527344,192.8718719482422,427.9925842285156,1032.3031005859375
2015-02-13,777.9378662109375,499.6867370605469,196.85533142089844,431.9234313964844,1064.41943359375
2015-02-16,784.9010620117188,500.50726318359375,202.86952209472656,425.00323486328125,1083.7264404296875
2015-02-18,772.5743408203125,503.9062194824219,204.7701416015625,424.4618835449219,1105.0465087890625
2015-02-19,784.8538818359375,506.25048828125,202.68728637695312,424.65020751953125,1124.081298828125
2015-02-20,776.94970703125,503.0858154296875,206.22813415527344,411.0216369628906,1121.7752685546875
2015-02-23,761.800537109375,500.4837951660156,203.20799255371094,400.8296813964844,1130.6217041015625
2015-02-24,752.34375,500.5540771484375,206.04586791992188,396.12200927734375,1134.0179443359375
2015-02-25,765.7994995117188,493.427734375,208.1287384033203,396.92236328125,1120.3704833984375
2015-02-26,745.1453247070312,486.723388671875,206.01986694335938,396.3809814453125,1113.7674560546875
2015-02-27,759.4951171875,494.1545104980469,205.00442504882812,402.7597961425781,1116.2410888671875
2015-03-02,776.8557739257812,507.539794921875,178.73451232910156,406.85540771484375,1119.1971435546875
2015-03-03,788.8058471679688,507.9148254394531,177.84930419921875,424.0617370605469,1163.8909912109375
2015-03-04,787.39453125,499.4523620605469,179.2552490234375,417.96539306640625,1151.3128662109375
2015-03-05,784.6657104492188,508.7352600097656,180.29666137695312,416.60015869140625,1130.537841796875
2015-03-09,764.67041015625,496.4986572265625,176.18301391601562,409.3974914550781,1109.7210693359375
2015-03-10,760.2478637695312,493.47467041015625,176.28717041015625,404.45452880859375,1108.0023193359375
2015-03-11,761.2359008789062,495.3031005859375,176.1049346923828,402.94805908203125,1092.8455810546875
2015-03-12,760.3889770507812,494.435791015625,180.5049591064453,406.6435546875,1098.0865478515625
2015-03-13,760.671142578125,488.8331298828125,176.7297821044922,400.1941223144531,1082.6993408203125
2015-03-16,782.7366943359375,493.0058288574219,174.6469268798828,396.42803955078125,1074.293212890625
2015-03-17,782.3134155273438,496.05328369140625,177.0421905517578,403.37176513671875,1083.2655029296875
2015-03-18,766.1289672851562,498.6319274902344,175.29783630371094,408.9267578125,1073.055908203125
2015-03-19,785.5125122070312,493.31060791015625,173.5794677734375,403.042236328125,1088.5272216796875
2015-03-20,762.1298217773438,495.0452575683594,170.5072784423828,402.0771789550781,1094.6904296875
2015-03-23,763.6824951171875,491.2242736816406,170.48121643066406,396.357421875,1097.2896728515625
2015-03-24,765.2820434570312,486.6296081542969,170.0386505126953,399.1819763183594,1086.4520263671875
2015-03-25,760.7654418945312,484.89495849609375,170.1427459716797,397.7461853027344,1079.093505859375
2015-03-26,746.274658203125,472.095703125,167.877685546875,390.4023132324219,1053.6650390625
2015-03-27,732.2073364257812,475.7057800292969,165.32618713378906,382.11688232421875,1054.3779296875
2015-03-30,759.7774658203125,486.13739013671875,170.55935668945312,381.669677734375,1075.068603515625
2015-03-31,763.4000244140625,479.4798583984375,169.6741180419922,388.8488464355469,1070.7923583984375
2015-04-01,773.1860961914062,484.4261169433594,173.11083984375,393.5799865722656,1066.0545654296875
2015-04-06,775.8207397460938,483.8165588378906,177.56289672851562,388.2132568359375,1068.0042724609375
2015-04-07,785.8890380859375,484.1916809082031,177.3546142578125,392.073486328125,1083.810302734375
2015-04-08,796.8511352539062,485.5044250488281,180.29666137695312,407.6321716308594,1107.4569091796875
2015-04-09,802.779296875,495.13897705078125,180.76531982421875,421.3783874511719,1117.16357421875
2015-04-10,808.7071533203125,488.8331298828125,180.5049591064453,425.7329406738281,1112.6356201171875
2015-04-13,811.1536865234375,487.0281982421875,183.03038024902344,434.27728271484375,1113.3690185546875
2015-04-15,789.5116577148438,483.67596435546875,184.82684326171875,434.8186340332031,1101.734375
2015-04-16,773.7035522460938,482.7382507324219,182.30142211914062,437.0312194824219,1082.887939453125
2015-04-17,768.5753784179688,477.3935241699219,183.212646484375,436.3250427246094,1037.6280517578125
2015-04-20,761.1889038085938,471.22833251953125,178.0315704345703,416.9296569824219,1018.320556640625
2015-04-21,749.4740600585938,470.2438049316406,178.05760192871094,412.5986633300781,1017.5869750976562
2015-04-22,739.0761108398438,474.9790344238281,178.8126678466797,414.15216064453125,1025.1546630859375
2015-04-23,739.97021484375,475.16656494140625,178.13571166992188,412.881103515625,1030.248779296875
2015-04-24,725.8087158203125,471.86126708984375,181.18185424804688,413.7520751953125,1045.2581787109375
2015-04-27,700.8262329101562,471.39239501953125,179.56765747070312,412.05731201171875,1048.2567138671875
2015-04-28,720.2571411132812,470.970458984375,175.76649475097656,407.30267333984375,1046.076416015625
2015-04-29,709.8595581054688,465.625732421875,170.87176513671875,400.1470642089844,1042.8477783203125
2015-04-30,717.4342041015625,463.58624267578125,167.8516387939453,405.9609680175781,1032.95263671875
2015-05-04,733.383544921875,469.2826232910156,171.939208984375,419.4247131347656,1040.4371337890625
2015-05-05,735.2655029296875,463.047119140625,169.8824005126953,419.9896545410156,1055.65625
2015-05-06,715.9287719726562,455.0534362792969,165.768798828125,414.3875732421875,1032.6805419921875
2015-05-07,720.5393676757812,446.0049133300781,167.955810546875,409.9153747558594,1067.14453125
2015-05-08,714.5641479492188,460.39825439453125,170.7936553955078,423.70220947265625,1059.5977783203125
2015-05-11,726.0911254882812,464.2895202636719,169.986572265625,426.6786193847656,1071.651611328125
2015-05-12,713.5762329101562,455.6864013671875,168.8409881591797,413.7013854980469,1057.7738037109375
2015-05-13,717.4813232421875,464.2660827636719,170.71554565429688,421.51153564453125,1054.6290283203125
2015-05-14,749.427001953125,464.64117431640625,169.0753173828125,418.2255859375,1047.8580322265625
2015-05-15,743.6399536132812,464.19573974609375,169.96051025390625,416.2015686035156,1052.8472900390625
2015-05-18,721.4802856445312,473.4552917480469,173.397216796875,424.583251953125,1056.7254638671875
2015-05-19,729.0079956054688,472.376953125,173.1629180908203,426.4881591796875,1053.4969482421875
2015-05-20,725.6675415039062,480.1128234863281,172.85047912597656,432.8220520019531,1072.091796875
2015-05-21,731.3134155273438,480.41754150390625,170.48121643066406,427.0596008300781,1071.4417724609375
2015-05-22,729.6195678710938,480.2300109863281,171.39247131347656,430.44085693359375,1097.60400390625
2015-05-25,716.9166259765625,479.8783264160156,164.961669921875,425.9881286621094,1090.518798828125
2015-05-26,718.4223022460938,481.6833801269531,163.503662109375,421.2734680175781,1093.8101806640625
2015-05-27,714.4232177734375,486.723388671875,165.43032836914062,421.6067810058594,1096.4932861328125
2015-05-28,722.0447998046875,482.6210632324219,167.3830108642578,417.0826110839844,1094.0823974609375
2015-05-29,740.5818481445312,492.5369567871094,170.32501220703125,417.6540832519531,1094.41796875
2015-06-01,743.1224365234375,485.8091735839844,172.90255737304688,429.67889404296875,1097.5416259765625
2015-06-02,714.3760986328125,472.9630432128906,165.92498779296875,427.9644470214844,1090.0572509765625
2015-06-03,717.6694946289062,471.4393005371094,161.6759490966797,426.8691711425781,1094.6695556640625
2015-06-04,714.7526245117188,475.8463439941406,160.18881225585938,434.6554870605469,1092.4683837890625
2015-06-05,713.9996337890625,474.34613037109375,161.62283325195312,432.29815673828125,1090.01416015625
2015-06-08,703.83740234375,470.45477294921875,161.64938354492188,421.67822265625,1090.690673828125
2015-06-09,692.2635498046875,469.70458984375,159.65765380859375,420.8448486328125,1084.005126953125
2015-06-10,695.5100708007812,476.1511535644531,159.92323303222656,431.3695068359375,1100.5509033203125
2015-06-11,666.5755615234375,468.9310607910156,157.77215576171875,417.72552490234375,1088.0885009765625
2015-06-12,663.9877319335938,473.1271057128906,158.03770446777344,423.77362060546875,1060.3712158203125
2015-06-15,657.306884765625,471.27520751953125,158.54229736328125,429.4407958984375,1059.947998046875
2015-06-16,663.3292236328125,472.7754821777344,158.78128051757812,430.4884948730469,1062.9947509765625
2015-06-17,668.6925659179688,471.0408020019531,159.92323303222656,443.46575927734375,1063.756591796875
2015-06-18,685.9121704101562,478.0264587402344,160.34814453125,466.205810546875,1070.633056640625
2015-06-19,696.309814453125,483.1368408203125,161.99461364746094,474.6350402832031,1078.8846435546875
2015-06-22,703.5549926757812,490.94293212890625,164.8627471923828,472.2777099609375,1096.636474609375
2015-06-23,711.83544921875,493.263671875,167.06692504882812,473.8492736816406,1089.4847412109375
