Date,MRNA,PFE,JNJ,GOOGL,META,AAPL,COST,WMT,KR,JPM,BAC,HSBC
2020-07-27,79.91000366210938,35.61669921875,147.17999267578125,76.47149658203125,233.5,94.80999755859375,327.6000061035156,131.2100067138672,34.7599983215332,96.9000015258789,24.139999389648438,22.670000076293945
2020-07-28,81.48999786376953,37.0208740234375,146.8300018310547,75.18250274658203,230.1199951171875,93.25250244140625,327.57000732421875,131.75999450683594,35.22999954223633,97.31999969482422,24.360000610351562,22.75
2020-07-29,79.51000213623047,37.24857711791992,146.5399932861328,76.17549896240234,233.2899932861328,95.04000091552734,326.1400146484375,130.69000244140625,35.11000061035156,99.68000030517578,25.270000457763672,23.56999969482422
2020-07-30,77.62999725341797,36.755218505859375,146.83999633789062,76.91850280761719,234.5,96.19000244140625,324.82000732421875,130.1199951171875,34.40999984741211,97.0199966430664,24.84000015258789,22.760000228881836
2020-07-31,74.0999984741211,36.50853729248047,145.75999450683594,74.39749908447266,253.6699981689453,106.26000213623047,325.5299987792969,129.39999389648438,34.790000915527344,96.63999938964844,24.8799991607666,22.649999618530273
2020-08-03,77.9800033569336,36.38520050048828,147.35000610351562,74.13800048828125,251.9600067138672,108.9375,329.32000732421875,129.3000030517578,35.099998474121094,96.0999984741211,24.989999771118164,21.579999923706055
2020-08-04,78.45999908447266,36.42314910888672,147.22000122070312,73.66500091552734,249.8300018310547,109.66500091552734,339.7900085449219,131.63999938964844,35.38999938964844,95.55000305175781,25.010000228881836,21.90999984741211
2020-08-05,75.80000305175781,36.48007583618164,148.39999389648438,73.95449829101562,249.1199951171875,110.0625,339.9700012207031,129.80999755859375,35.09000015258789,97.20999908447266,25.389999389648438,21.81999969482422
2020-08-06,73.76000213623047,36.30929946899414,147.5500030517578,75.24749755859375,265.2799987792969,113.90249633789062,343.30999755859375,129.35000610351562,35.029998779296875,97.23999786376953,25.469999313354492,21.3799991607666
2020-08-07,74.0999984741211,36.48007583618164,148.60000610351562,74.91850280761719,268.44000244140625,111.11250305175781,340.9100036621094,129.97000122070312,35.2400016784668,99.37999725341797,26.110000610351562,21.34000015258789
2020-08-10,72.01000213623047,36.42314910888672,148.02999877929688,74.84100341796875,263.0,112.72750091552734,340.0,131.8800048828125,35.029998779296875,100.63999938964844,26.559999465942383,21.690000534057617
2020-08-11,68.97000122070312,35.85388946533203,146.97000122070312,74.0270004272461,256.1300048828125,109.375,332.42999267578125,130.1999969482422,34.2599983215332,103.81999969482422,26.920000076293945,22.489999771118164
2020-08-12,69.5199966430664,36.3662223815918,149.66000366210938,75.36199951171875,259.8900146484375,113.01000213623047,336.760009765625,131.88999938964844,34.61000061035156,102.94000244140625,26.729999542236328,23.1200008392334
2020-08-13,67.83000183105469,36.214420318603516,148.0,75.8324966430664,261.29998779296875,115.01000213623047,335.70001220703125,131.85000610351562,34.59000015258789,102.37000274658203,26.350000381469727,22.34000015258789
2020-08-14,69.1500015258789,36.11005783081055,148.24000549316406,75.23149871826172,261.239990234375,114.90750122070312,336.2799987792969,132.60000610351562,35.38999938964844,102.41000366210938,26.469999313354492,22.280000686645508
2020-08-17,69.76000213623047,36.38520050048828,148.99000549316406,75.81199645996094,261.1600036621094,114.60749816894531,339.9599914550781,135.60000610351562,36.0,99.70999908447266,25.899999618530273,22.200000762939453
2020-08-18,67.02999877929688,36.39468765258789,150.08999633789062,77.78900146484375,262.3399963378906,115.5625,340.75,134.7100067138672,36.2400016784668,98.31999969482422,25.530000686645508,21.889999389648438
2020-08-19,68.0,36.299808502197266,150.38999938964844,77.23049926757812,262.5899963378906,115.7074966430664,340.8999938964844,132.41000366210938,36.220001220703125,98.55000305175781,25.5,21.950000762939453
2020-08-20,67.80999755859375,36.736244201660156,151.4199981689453,78.8125,269.010009765625,118.2750015258789,340.8699951171875,130.57000732421875,35.91999816894531,97.37000274658203,25.100000381469727,21.719999313354492
2020-08-21,66.44999694824219,36.88804626464844,152.75999450683594,78.77850341796875,267.010009765625,124.37000274658203,344.6099853515625,131.6300048828125,35.90999984741211,97.31999969482422,24.979999542236328,21.639999389648438
2020-08-24,64.87999725341797,36.850093841552734,152.14999389648438,79.25749969482422,271.3900146484375,125.85749816894531,344.1300048828125,131.3300018310547,36.060001373291016,100.05999755859375,25.690000534057617,22.25
2020-08-25,66.25,36.44212341308594,152.05999755859375,80.2925033569336,280.82000732421875,124.82499694824219,344.7099914550781,130.6300048828125,36.08000183105469,100.5,26.0,22.059999465942383
2020-08-26,70.5,36.10057067871094,152.3000030517578,82.20649719238281,303.9100036621094,126.52249908447266,344.2699890136719,130.6999969482422,36.369998931884766,99.08999633789062,25.559999465942383,21.81999969482422
2020-08-27,68.02999877929688,35.92030334472656,152.97999572753906,81.4260025024414,293.2200012207031,125.01000213623047,346.3599853515625,136.6300048828125,36.15999984741211,102.3499984741211,26.049999237060547,21.649999618530273
2020-08-28,67.48999786376953,35.967742919921875,153.63999938964844,81.97149658203125,293.6600036621094,124.80750274658203,348.3699951171875,140.3000030517578,35.29999923706055,102.7699966430664,26.299999237060547,22.040000915527344
2020-08-31,64.88999938964844,35.85388946533203,153.41000366210938,81.47650146484375,293.20001220703125,129.0399932861328,347.6600036621094,138.85000610351562,35.68000030517578,100.19000244140625,25.739999771118164,21.6299991607666
2020-09-01,63.31999969482422,34.99051284790039,151.52000427246094,82.75399780273438,295.44000244140625,134.17999267578125,351.3800048828125,147.58999633789062,35.400001525878906,100.13999938964844,25.709999084472656,21.239999771118164
